test_name,p_value_uniformity,passed,total,pass_rate,min_required,meets_threshold
Frequency,0.657933,99,100,99.0,96,True
BlockFrequency,0.171867,99,100,99.0,96,True
CumulativeSums,0.366918,99,100,99.0,96,True
CumulativeSums,0.719747,99,100,99.0,96,True
Runs,0.289667,99,100,99.0,96,True
LongestRun,0.834308,98,100,98.0,96,True
Rank,0.883171,100,100,100.0,96,True
FFT,0.401199,100,100,100.0,96,True
NonOverlappingTemplate,0.304126,100,100,100.0,96,True
NonOverlappingTemplate,0.304126,99,100,99.0,96,True
NonOverlappingTemplate,0.657933,99,100,99.0,96,True
NonOverlappingTemplate,0.23681,99,100,99.0,96,True
NonOverlappingTemplate,0.249284,99,100,99.0,96,True
NonOverlappingTemplate,0.494392,99,100,99.0,96,True
NonOverlappingTemplate,0.574903,99,100,99.0,96,True
NonOverlappingTemplate,0.574903,99,100,99.0,96,True
NonOverlappingTemplate,0.071177,99,100,99.0,96,True
NonOverlappingTemplate,0.99425,100,100,100.0,96,True
NonOverlappingTemplate,0.719747,98,100,98.0,96,True
NonOverlappingTemplate,0.048716,97,100,97.0,96,True
NonOverlappingTemplate,0.574903,99,100,99.0,96,True
NonOverlappingTemplate,0.867692,100,100,100.0,96,True
NonOverlappingTemplate,0.955835,99,100,99.0,96,True
NonOverlappingTemplate,0.657933,100,100,100.0,96,True
NonOverlappingTemplate,0.366918,100,100,100.0,96,True
NonOverlappingTemplate,0.514124,98,100,98.0,96,True
NonOverlappingTemplate,0.999438,98,100,98.0,96,True
NonOverlappingTemplate,0.334538,100,100,100.0,96,True
NonOverlappingTemplate,0.401199,99,100,99.0,96,True
NonOverlappingTemplate,0.971699,100,100,100.0,96,True
NonOverlappingTemplate,0.025193,98,100,98.0,96,True
NonOverlappingTemplate,0.595549,99,100,99.0,96,True
NonOverlappingTemplate,0.455937,100,100,100.0,96,True
NonOverlappingTemplate,0.383827,98,100,98.0,96,True
NonOverlappingTemplate,0.035174,99,100,99.0,96,True
NonOverlappingTemplate,0.883171,99,100,99.0,96,True
NonOverlappingTemplate,0.719747,100,100,100.0,96,True
NonOverlappingTemplate,0.867692,100,100,100.0,96,True
NonOverlappingTemplate,0.171867,98,100,98.0,96,True
NonOverlappingTemplate,0.55442,100,100,100.0,96,True
NonOverlappingTemplate,0.779188,99,100,99.0,96,True
NonOverlappingTemplate,0.419021,98,100,98.0,96,True
NonOverlappingTemplate,0.798139,100,100,100.0,96,True
NonOverlappingTemplate,0.289667,100,100,100.0,96,True
NonOverlappingTemplate,0.798139,100,100,100.0,96,True
NonOverlappingTemplate,0.816537,100,100,100.0,96,True
NonOverlappingTemplate,0.883171,99,100,99.0,96,True
NonOverlappingTemplate,0.883171,98,100,98.0,96,True
NonOverlappingTemplate,0.028817,99,100,99.0,96,True
NonOverlappingTemplate,0.924076,98,100,98.0,96,True
NonOverlappingTemplate,0.030806,100,100,100.0,96,True
NonOverlappingTemplate,0.055361,100,100,100.0,96,True
NonOverlappingTemplate,0.739918,98,100,98.0,96,True
NonOverlappingTemplate,0.224821,97,100,97.0,96,True
NonOverlappingTemplate,0.145326,99,100,99.0,96,True
NonOverlappingTemplate,0.816537,100,100,100.0,96,True
NonOverlappingTemplate,0.191687,99,100,99.0,96,True
NonOverlappingTemplate,0.350485,100,100,100.0,96,True
NonOverlappingTemplate,0.657933,100,100,100.0,96,True
NonOverlappingTemplate,0.275709,99,100,99.0,96,True
NonOverlappingTemplate,0.494392,100,100,100.0,96,True
NonOverlappingTemplate,0.304126,100,100,100.0,96,True
NonOverlappingTemplate,0.816537,100,100,100.0,96,True
NonOverlappingTemplate,0.883171,100,100,100.0,96,True
NonOverlappingTemplate,0.851383,99,100,99.0,96,True
NonOverlappingTemplate,0.319084,99,100,99.0,96,True
